City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
18,Road Town,VG,87.8,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
19,North Platte,US,87.8,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
22,Kavaratti,IN,82.09,light rain,10.57,72.64,Bismillah Hotel And Lodging
24,Talavera De La Reina,ES,87.01,clear sky,39.96,-4.83,Be Live City Center Talavera
44,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
45,Westport,US,87.01,few clouds,41.14,-73.36,The Westport Inn
60,La Palma,US,86.0,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
65,Freeport,US,89.01,scattered clouds,40.66,-73.58,The Freeport Inn and Marina
68,Homestead,US,93.2,broken clouds,25.47,-80.48,Best Western Gateway to the Keys
69,Djibo,BF,86.49,clear sky,14.1,-1.63,Centre Des Ressources DPENA
70,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
74,Cullman,US,80.6,broken clouds,34.17,-86.84,Days Inn by Wyndham Cullman
80,Bubaque,GW,80.96,light rain,11.28,-15.83,Casa Dora
82,Kapaa,US,80.01,moderate rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
88,Winslow,US,93.2,clear sky,35.02,-110.7,Best Western Plus Winslow Inn
98,Hithadhoo,MV,80.19,overcast clouds,-0.6,73.08,Scoop Guest House
99,Bethel,US,82.99,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
102,Trincomalee,LK,80.44,overcast clouds,8.57,81.23,Welcombe Hotel
103,Wilmington,US,93.99,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
105,Springdale,US,91.4,few clouds,36.19,-94.13,Springdale Inn
107,Los Llanos De Aridane,ES,82.0,few clouds,28.66,-17.92,Valle Aridane
110,Lorengau,PG,82.99,light rain,-2.02,147.27,Lorengau Harbourside Hotel
111,Ixtapa,MX,82.99,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
118,Ewa Beach,US,80.6,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
120,Kralendijk,BQ,89.6,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
123,Bastrop,US,87.8,clear sky,32.76,-91.87,Budget Inn
129,Makakilo City,US,80.6,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
142,Jieshi,CN,81.75,overcast clouds,22.81,115.83,Yuehai Hotel
147,Butaritari,KI,82.35,overcast clouds,3.07,172.79,Isles Sunset Lodge
161,Clearwater,US,91.99,scattered clouds,27.97,-82.8,Shephard's Beach Resort
169,Bac Lieu,VN,80.04,light rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
179,Jalu,LY,85.19,clear sky,29.03,21.55,Jalu Hotel
180,Gat,IL,82.0,clear sky,31.61,34.76,רגע בנחת
186,Buala,SB,80.29,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
194,Mayo,US,91.99,broken clouds,38.89,-76.51,Resorts Resource Group International
203,Parintins,BR,94.17,overcast clouds,-2.63,-56.74,Cama e Cafe
208,Sal Rei,CV,84.2,few clouds,16.18,-22.92,Marine Club Beach Resort
211,Bathsheba,BB,87.8,shower rain,13.22,-59.52,Atlantis Hotel
214,Dwarka,IN,82.08,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
221,Ljubuski,BA,80.6,clear sky,43.2,17.55,Hotel Hum
223,Sawakin,SD,90.37,clear sky,19.11,37.33,فندق الدويم
239,Najran,SA,91.4,scattered clouds,17.49,44.13,محمد هادي ال فطيح
245,Kahului,US,82.4,few clouds,20.89,-156.47,Maui Seaside Hotel
246,Carutapera,BR,83.97,light rain,-1.2,-46.02,Lidera
247,Cantagallo,CO,89.6,scattered clouds,7.38,-73.92,Apartahotel Altamira
248,San Cristobal,VE,91.4,few clouds,7.77,-72.22,Pirineos
259,Barstow,US,93.2,clear sky,34.9,-117.02,"Motel 6 Barstow, CA"
265,Manama,BH,95.0,overcast clouds,26.22,50.58,Al Safir Hotel & Tower
269,Acajutla,SV,80.01,scattered clouds,13.59,-89.83,Stop.
277,Salta,AR,86.0,broken clouds,-24.79,-65.41,Hotel Alejandro I
285,Victoria,HK,84.0,overcast clouds,22.29,114.16,Mini Hotel Central
289,Cabo San Lucas,MX,82.4,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
290,Esna,EG,87.8,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
296,Tshikapa,CD,80.33,clear sky,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
302,Kulhudhuffushi,MV,82.71,light rain,6.62,73.07,Haajy Guest House 1
303,Dingli,MT,80.01,clear sky,35.86,14.38,The Xara Palace Relais & Chateaux
306,Fukue,JP,81.66,light rain,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
312,Kavieng,PG,81.03,light rain,-2.57,150.8,Nusa Island Retreat
313,Taitung,TW,81.16,overcast clouds,22.76,121.14,Taitung Bali Suites Hotel
316,Akyab,MM,81.37,light rain,20.15,92.9,Hotel Memory
320,Progreso,MX,95.0,broken clouds,21.28,-89.67,Playa Linda Hotel
337,Pedasi,PA,81.9,light rain,7.53,-80.03,Selina Pedasi
345,Ilawe,NG,80.6,overcast clouds,7.87,4.43,MR SALAM LODGE
363,San Marcos,US,93.0,clear sky,33.14,-117.17,Hampton Inn San Marcos
373,Maceio,BR,80.6,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
379,Tirumullaivasal,IN,82.22,light rain,11.23,79.83,"MATHAMPATTINAM, MODUNUTTI GROUP"
385,Vila Do Maio,CV,84.2,broken clouds,15.13,-23.22,Residence 'I Delfini'
386,Sinnamary,GF,83.41,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
390,Owings Mills,US,87.01,overcast clouds,39.42,-76.78,Hampton Inn Baltimore/Owings Mills
404,Maunabo,PR,89.01,few clouds,18.01,-65.9,Maunacaribe
406,Gigmoto,PH,80.58,overcast clouds,13.78,124.39,Cj's Travellers Inn
411,Gachala,CO,87.8,few clouds,4.69,-73.52,CABAÑAS EL JAZMIN
415,Turbat,PK,87.69,clear sky,26.0,63.04,Mubashar Quarters
421,Yarada,IN,82.4,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
427,Oistins,BB,87.8,shower rain,13.07,-59.53,Butterfly Beach Hotel
429,Nago,JP,80.6,scattered clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
434,Keti Bandar,PK,83.05,overcast clouds,24.14,67.45,Haji laloo memon house
442,Morant Bay,JM,89.6,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
444,Kingston,JM,89.6,few clouds,18.0,-76.79,The Jamaica Pegasus Hotel
445,La Crosse,US,87.8,clear sky,43.8,-91.24,Holiday Inn & Suites la Crosse - Downtown
450,Champerico,GT,87.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
453,Dogondoutchi,NE,83.55,few clouds,13.64,4.03,Hôtel Alheri Maison Alheri
456,Paralimni,CY,80.6,clear sky,35.04,33.98,Amore Hotel Apartments
459,Narayanganj,BD,82.4,moderate rain,23.62,90.5,BIMT New Hostel
462,Praya,CV,84.2,broken clouds,14.92,-23.51,LT Aparthotel
463,Tete,MZ,82.71,clear sky,-16.16,33.59,Zambeze Paraíso Misterioso
467,Tartagal,AR,84.7,few clouds,-22.52,-63.8,Almuñecar Hotel
469,Fairview,US,88.0,few clouds,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
472,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
476,Laguna,US,84.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
478,Altamira,BR,87.8,scattered clouds,-3.2,-52.21,Requinte Hotel
500,Planadas,CO,93.2,scattered clouds,3.2,-75.65,Conjunto Los Almendros
509,Maputo,MZ,86.0,few clouds,-25.97,32.59,Pestana Rovuma
513,Hirara,JP,83.05,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
521,Sur,OM,83.46,overcast clouds,22.57,59.53,Sur Plaza Hotel
523,Sidrolandia,BR,93.2,clear sky,-20.93,-54.96,hotel cisne azul
525,Petatlan,MX,86.0,broken clouds,17.52,-101.27,Hotel California Petatlán
527,Gushikawa,JP,80.6,scattered clouds,26.35,127.87,Kirari Guest House
532,Sulangan,PH,84.09,broken clouds,11.14,123.72,Maia's Beach Resort
533,La Peca,PE,88.9,clear sky,-5.61,-78.44,Iks Fuente De Soda Restaurant
535,Marsh Harbour,BS,84.88,moderate rain,26.54,-77.06,Abaco Beach Resort
543,Tomatlan,MX,83.17,moderate rain,19.93,-105.25,Norma franco
545,La Asuncion,VE,89.6,clear sky,11.03,-63.86,Colinas de Matasiete
546,Paraiso,CR,82.4,shower rain,9.84,-83.87,Hotel Rio Perlas Spa and Resort
548,San Andres,CO,87.8,broken clouds,12.58,-81.7,Hotel Arena Blanca
549,Esmeraldas,BR,80.6,clear sky,-19.76,-44.31,Hotel Fazenda Lagoa Azul
558,Wajima,JP,81.97,light rain,37.4,136.9,Wajiima Onsen Yashio
559,Saint-Georges,GD,91.4,scattered clouds,12.06,-61.75,Siesta Hotel
561,Praia Da Vitoria,PT,80.6,few clouds,38.73,-27.07,Hotel Branco I
562,Toppenish,US,82.0,clear sky,46.38,-120.31,Legends Casino Hotel
565,Diffa,NE,87.87,overcast clouds,13.32,12.61,ProDAF/Diffa
572,Itoman,JP,82.4,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
580,Guerrero Negro,MX,90.61,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
581,Tabas,IR,80.6,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
583,Mersin,TR,80.6,clear sky,36.86,34.65,Nostalgia Boutique Hotel
587,Mali,GN,86.0,broken clouds,12.08,-12.3,Hotel La Dame de Mali
590,Itarema,BR,82.24,broken clouds,-2.92,-39.92,Windvillage
602,Rio Brilhante,BR,89.35,clear sky,-21.8,-54.55,Hotel Cattani
603,Cabedelo,BR,82.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
607,Medianeira,BR,89.6,clear sky,-25.3,-54.09,Martinhago Hotel
612,Aguada De Pasajeros,CU,91.4,clear sky,22.39,-80.85,Soles de Marti
613,Catamarca,AR,84.0,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
621,Beavercreek,US,82.0,broken clouds,39.71,-84.06,Uncle Jimmy's
625,Palmer,US,80.01,broken clouds,42.16,-72.33,Wedgewood Motel
626,Manavgat,TR,80.6,few clouds,36.79,31.44,Lake & River Side Hotel & Spa
631,Sao Gabriel Da Cachoeira,BR,89.6,shower rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
639,Terra Santa,BR,92.37,overcast clouds,-2.1,-56.49,Igreja da paz
641,Panaba,MX,93.96,overcast clouds,21.28,-88.27,Hotel Amor
644,La Concordia,NI,80.6,scattered clouds,13.2,-86.17,Parque de Ferias
652,Nishihara,JP,82.4,broken clouds,26.18,127.76,Minshuku Agaihama
653,Iracoubo,GF,84.49,broken clouds,5.48,-53.2,Le Gite D Iracoubo
654,Kuah,MY,80.6,overcast clouds,6.33,99.84,Azio Hotel
659,Kalmunai,LK,80.62,broken clouds,7.42,81.82,VS Villa
667,Tucurui,BR,91.17,overcast clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
669,Matay,EG,85.64,clear sky,28.42,30.78,Nag Aespen
672,Santarem,BR,84.2,scattered clouds,-2.44,-54.71,Hotel Imperador
675,Biltine,TD,83.28,light rain,14.53,20.92,Hôtel Trois Étoiles de Biltine
676,Hamilton,US,82.0,light rain,39.18,-84.53,Six Acres Bed & Breakfast
682,Lodwar,KE,89.91,clear sky,3.12,35.6,Turkwel Lodge
691,Havelock,US,91.4,broken clouds,34.88,-76.9,Sherwood Motel
696,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
700,Port Blair,IN,81.9,overcast clouds,11.67,92.75,Fortune Resort Bay Island
703,Galdar,ES,82.0,clear sky,28.15,-15.65,Hostel Guide
707,Russell,US,90.0,scattered clouds,32.35,-85.2,Macs
711,Rosetta,EG,80.6,scattered clouds,31.4,30.42,Green Valley
712,Aswan,EG,87.84,clear sky,24.09,32.91,Nuba Nile
713,Estelle,US,93.99,broken clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
715,Nouakchott,MR,86.0,scattered clouds,18.09,-15.98,Hôtel Iman
723,Abu Kamal,SY,85.3,clear sky,34.45,40.92,محطة التلفاز
724,Abnub,EG,86.0,clear sky,27.27,31.15,مسجد الخطبة
731,Nuevo Progreso,MX,93.99,overcast clouds,23.17,-97.95,Balneario Rio el Paraiso
