City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.42,19.23,52.0,78,65,5.01,light rain
1,San Jeronimo,PE,-11.95,-75.28,68.63,24,11,3.8,few clouds
2,Mirnyy,RU,62.54,113.96,50.0,53,100,6.71,overcast clouds
3,Cape Town,ZA,-33.93,18.42,54.0,87,20,5.82,few clouds
4,Tuktoyaktuk,CA,69.45,-133.04,48.2,66,20,12.75,few clouds
5,Yellowknife,CA,62.46,-114.35,55.4,76,75,11.41,shower rain
6,Punta Arenas,CL,-53.15,-70.92,33.01,90,20,31.09,few clouds
7,New Norfolk,AU,-42.78,147.06,54.0,64,100,4.0,overcast clouds
8,Poronaysk,RU,49.22,143.12,54.7,92,100,7.56,overcast clouds
9,Hobart,AU,-42.88,147.33,54.0,58,100,17.22,overcast clouds
10,Te Anau,NZ,-45.42,167.72,37.99,83,6,5.86,clear sky
11,Bambanglipuro,ID,-7.95,110.28,75.6,84,9,10.33,clear sky
12,Santana Do Paraiso,BR,-19.36,-42.57,78.73,49,0,6.85,clear sky
13,Opuwo,NA,-18.06,13.84,61.83,31,0,8.88,clear sky
14,Ambon,ID,-3.7,128.18,78.8,83,40,6.93,scattered clouds
15,Vao,NC,-22.67,167.48,67.53,91,99,20.62,overcast clouds
16,Gravdal,NO,68.12,13.5,46.4,87,75,2.24,shower rain
17,Grand-Lahou,CI,5.14,-5.02,75.27,89,99,9.13,overcast clouds
18,Road Town,VG,18.42,-64.62,87.8,70,40,9.17,scattered clouds
19,North Platte,US,41.12,-100.77,87.8,35,1,20.8,clear sky
20,Ostrovnoy,RU,68.05,39.51,44.92,76,15,5.59,few clouds
21,Faya,SA,18.39,42.45,71.6,88,0,5.82,clear sky
22,Kavaratti,IN,10.57,72.64,82.09,77,100,6.89,light rain
23,Vaini,TO,-21.2,-175.2,73.4,88,75,10.29,broken clouds
24,Talavera De La Reina,ES,39.96,-4.83,87.01,17,0,14.67,clear sky
25,Busselton,AU,-33.65,115.33,48.99,70,7,15.7,clear sky
26,Avera,US,33.19,-82.53,89.6,66,75,5.82,broken clouds
27,Ushuaia,AR,-54.8,-68.3,32.0,84,75,23.04,snow
28,Cherskiy,RU,68.75,161.3,38.68,92,66,5.86,broken clouds
29,Korla,CN,41.76,86.15,66.88,41,96,17.98,overcast clouds
30,Ancud,CL,-41.87,-73.82,46.99,70,40,8.05,scattered clouds
31,Clyde River,CA,70.47,-68.59,51.8,62,20,12.75,few clouds
32,Castro,BR,-24.79,-50.01,76.05,49,0,4.65,clear sky
33,Ouallam,NE,14.32,2.09,88.56,52,12,10.09,few clouds
34,Saint-Philippe,RE,-21.36,55.77,69.8,73,90,3.36,overcast clouds
35,Mount Gambier,AU,-37.83,140.77,42.8,100,0,6.93,clear sky
36,Leningradskiy,RU,69.38,178.42,37.54,94,100,3.94,overcast clouds
37,Mae Ramat,TH,16.98,98.52,73.08,93,100,1.19,overcast clouds
38,Port Elizabeth,ZA,-33.92,25.57,57.2,71,0,11.41,clear sky
39,Atagay,RU,55.1,99.39,50.97,90,100,1.79,overcast clouds
40,Qandala,SO,11.47,49.87,89.98,51,100,1.39,overcast clouds
41,Meiktila,MM,20.87,95.87,77.74,85,100,10.25,overcast clouds
42,Rikitea,PF,-23.12,-134.97,68.14,67,0,3.62,clear sky
43,Provideniya,RU,64.38,-173.3,50.16,74,88,1.32,overcast clouds
44,Georgetown,MY,5.41,100.34,80.6,88,20,1.57,few clouds
45,Westport,US,41.14,-73.36,87.01,57,20,8.05,few clouds
46,Aksu,CN,41.12,80.26,73.35,32,91,9.93,light rain
47,Ust-Tsilma,RU,65.44,52.15,44.87,86,20,3.02,few clouds
48,Floro,NO,61.6,5.03,60.8,67,40,6.93,shower rain
49,Kragero,NO,58.87,9.41,57.2,71,40,5.82,scattered clouds
50,Mataura,NZ,-46.19,168.86,45.0,72,2,11.01,clear sky
51,Albany,US,42.6,-73.97,78.01,63,52,9.73,broken clouds
52,Nikolskoye,RU,59.7,30.79,57.2,87,75,6.71,broken clouds
53,Grindavik,IS,63.84,-22.43,50.0,93,75,13.87,light intensity shower rain
54,Partur,IN,19.6,76.22,73.42,90,100,13.82,overcast clouds
55,Bredasdorp,ZA,-34.53,20.04,51.8,76,0,10.29,clear sky
56,Homer,US,59.64,-151.55,54.0,100,90,6.93,fog
57,Bereda,ES,43.27,-7.54,63.0,77,0,8.01,clear sky
58,Buraydah,SA,26.33,43.98,96.8,20,0,12.75,clear sky
59,Pevek,RU,69.7,170.31,39.87,86,25,3.67,scattered clouds
60,La Palma,US,33.85,-118.05,86.0,42,1,4.7,clear sky
61,Cayenne,GF,4.93,-52.33,78.8,94,28,3.36,light rain
62,Srednekolymsk,RU,67.45,153.68,41.97,95,100,4.76,light rain
63,Kaspiyskiy,RU,45.39,47.37,72.37,77,100,2.8,overcast clouds
64,Midland,US,32.0,-102.08,100.0,19,1,9.17,clear sky
65,Freeport,US,40.66,-73.58,89.01,54,40,12.75,scattered clouds
66,Qaanaaq,GL,77.48,-69.36,39.92,88,100,8.23,light rain
67,Chokurdakh,RU,70.63,147.92,37.22,91,99,6.87,overcast clouds
68,Homestead,US,25.47,-80.48,93.2,59,75,9.17,broken clouds
69,Djibo,BF,14.1,-1.63,86.49,54,0,4.99,clear sky
70,Touros,BR,-5.2,-35.46,84.2,62,40,12.75,scattered clouds
71,Sao Filipe,CV,14.9,-24.5,79.43,82,100,1.79,light rain
72,Bengkulu,ID,-3.8,102.27,76.06,84,95,7.16,overcast clouds
73,Mezen,RU,65.85,44.24,42.3,76,0,5.14,clear sky
74,Cullman,US,34.17,-86.84,80.6,78,75,12.75,broken clouds
75,Thinadhoo,MV,0.53,72.93,80.4,75,100,11.83,overcast clouds
76,Airai,TL,-8.93,125.41,56.19,87,17,4.21,few clouds
77,Khasan,RU,42.43,130.64,71.58,96,90,5.35,light rain
78,Souillac,MU,-20.52,57.52,71.6,73,20,10.29,few clouds
79,Camacha,PT,33.08,-16.33,75.2,73,40,14.99,scattered clouds
80,Bubaque,GW,11.28,-15.83,80.96,78,100,17.4,light rain
81,Kurilsk,RU,45.23,147.88,60.6,94,100,9.44,light rain
82,Kapaa,US,22.08,-159.32,80.01,88,90,4.7,moderate rain
83,Atuona,PF,-9.8,-139.03,77.74,80,29,22.82,light rain
84,Chaman,PK,30.92,66.45,66.31,22,0,3.36,clear sky
85,Lima,PE,-12.04,-77.03,64.4,77,90,10.29,overcast clouds
86,Dikson,RU,73.51,80.55,49.57,80,12,10.33,few clouds
87,Anloga,GH,5.79,0.9,77.0,88,20,13.87,few clouds
88,Winslow,US,35.02,-110.7,93.2,20,1,3.36,clear sky
89,Port Alfred,ZA,-33.59,26.89,58.19,68,4,6.49,clear sky
90,Hilo,US,19.73,-155.09,78.8,65,1,4.7,clear sky
91,Luderitz,NA,-26.65,15.16,56.79,75,0,9.82,clear sky
92,Bystryy Istok,RU,52.37,84.39,53.89,95,0,3.24,clear sky
93,Aklavik,CA,68.22,-135.01,50.0,66,40,3.36,scattered clouds
94,Beringovskiy,RU,63.05,179.32,50.59,85,98,12.55,light rain
95,Arraial Do Cabo,BR,-22.97,-42.03,78.8,69,0,23.04,clear sky
